id;lectureId;question;imageUrl;duration
172;9;__________ is described as a solar-powered car with 2 wings.;;15
173;9;A: What's wrong with him? B: He has broken __________ arm.;;15
174;9;"__________ bus is here, __________ will come in 5 minutes.";;15
175;9;Is this car __________?;;15
176;9;The ideas of the future plane are all__________?;;15
177;9;Bing ____________ five postcards to his friends in America since last month.;;15
178;9;It is common ____________ by car among Europe countries.;;15
179;9;Angkor in Cambodia has been listed as a UNESCO World ____________.;;15
180;9;__________ you ever been to Holland?;;15
181;10;We also watch films.....................................smart phones.;;15
182;10;I might have a smart phone................................. the Internet.;;15
183;10;Do you think we will.................................. holiday to the Moon?;;15
184;10;Will you have a car ........................................... can fly into space?;;15
185;10;We might have robots.................................our meals.;;15
186;10;A hi-tech robot will help us..............................children while we are away.;;15
187;10;I would like to have my house by the...........................so we can see the beach from my window.;;15
188;10;We might have a...........................TV to watch TV programs from space..;;15
189;10;"..........................pencils and paper, every student will have a computer.";;15
190;10;"In the future, I _________ in a motorhome.";;15
191;10;Robot will _________ our house for us in the future.;;15
192;10;There will be more people live in an apartment __________ in a house.;;15
193;10;"A _________ TV is linked with Bluetooth, wifi, USB and flash memory.";;15
194;10;We might use __________ appliances in our future house.;;15
195;10;We use _________ to preserve food and vegetables.;;15
196;10;Will robot ___________ after human health in the future?;;15
197;10;Who ___________ your clothes every day?;;15
198;10;"In the story, prince and princess often live in a ___________.";;15
199;10;It’s ___________ to live in a modern and hi-tech penthouse.;;15
200;10;In the future we might have ___________ guests from the space.;;15
201;11;People should _________ noise.;;16
202;11;_________can be recycled.;;16
203;11;My older sister often __________ old envelopes to decorate her room.;;16
204;11;"We shouldn't use __________ to store food, let's use bags made of natural materials.";;16
205;11;Lan always __________ books and clothes with her friends and cousins.;;16
206;11;You should put used cans and glass bottles into __________.;;16
207;11;We should use ___________ plastic boxes or bottles because they are good for health and safe for the environment.;;16
208;11;Soil pollution _________ many bad effects on ecosystems and human life.;;16
209;11;Many plants and animals die because of __________.;;16
210;11;The air in this city is __________ by emissions from nearby factories.;;16
211;11;The __________ of water pollution is the death of many types of fishes.;;16
212;11;Rising sea level can make some cities __________.;;16
213;11;Protecting the __________environment is saving human life.;;16
214;11;"If the river is __________, many fishes __________.";;16
215;11;People __________the environment if they __________ or cycle more.;;16
216;11;"If plants __________ more, we __________enough food to feed everyone.";;16
217;11;"If people __________ the rubbish, it __________harmful smoke.";;16
218;11;"If Mai __________ trees and flowers in her garden, it __________greener and more beautiful.";;16
219;11;"If she __________ hard, she __________ in the examination.";;16
220;11;hey are using leaves __________ food.;;16
221;12;Will we be able __________ into space in the future?;;15
222;12;Robots will be able to do the __________ for us soon.;;15
223;12;My grandmother enjoys __________. She waters the plants when she has free time.;;15
224;12;__________ robots can help children with difficult homework.;;15
225;12;Could robots __________ football with me in the future?;;15
226;12;__________ you do the dishes when you were young?;;15
227;12;We go to the __________ to see the new film.;;15
228;12;He is so strong that he can __________ the heavy box by one hand.;;15
229;12;Hospitals might have __________ robots to take care of sick people.;;15
230;12;"After getting up, I __________ the bed and then have breakfast.";;15
231;12;What is your __________ on this topic?;;15
232;12;Are there any robots in the space __________?;;15
233;12;Will robots be able to __________ its owner?;;15
234;12;Robots may play an important __________ in human’s life.;;15
235;12;My father __________ the hedge once a month.;;15
236;12;Robots will be very useful for our lives but they use______________ energy.;;15
237;12;My father always____________ coffee at home instead of going to the coffee shop.;;15
238;12;Robots will be able to__________ the personal computer in the future.;;15
239;12;"Nowadays robots can’t talk to people or play sports, but in the future I think they______.";;15
240;12;Will robots be able___________ our voices?;;15
